,Name,Arts and Humanities 2025,Business and Economics 2025,Computer Science 2025,Education Studies 2025,Engineering 2025,Geo,Industry,International Outlook,Law 2025,Life Sciences 2025,Medical and Health 2025,Overall,Physical Sciences 2025,Rank,Research Environment,Research Quality,Social Sciences 2025,Teaching,URL,World University Rankings 2026,Arts and Humanities,Business and Economics,Computer Science,Education Studies,Engineering,Law,Life Sciences,Medical and Health,Physical Sciences,Psychology,Social Sciences,Female_share,Male_share,International students,No. of FTE students,No. of students per staff,country,town,Overall_num
0,University of Oxford,3.0,2.0,1.0,3.0,4.0,"Oxford, United Kingdom",99.9,96.4,7.0,4.0,1.0,98.2,8.0,1,100.0,97.7,2.0,97.2,https://www.timeshighereducation.com/world-university-rankings/university-oxford,1.0,"Archaeology, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,Biological Sciences,"Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology",52.0,48.0,0.43,22005.0,10.4,United Kingdom,Oxford,98.2
1,Massachusetts Institute of Technology,1.0,1.0,3.0,3.0,4.0,"Cambridge, United States",100.0,91.9,1.0,,3.0,97.7,,2,95.3,99.6,,99.2,https://www.timeshighereducation.com/world-university-rankings/massachusetts-institute-technology,2.0,"Archaeology, Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Business and Management, Economics and Econometrics",Computer Science,,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",,Biological Sciences,Other Health,"Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Politics and International Studies, Sociology",43.0,57.0,0.33,11703.0,7.7,United States,Cambridge,97.7
2,Princeton University,6.0,6.0,7.0,5.0,3.0,"Princeton, United States",98.0,85.4,5.0,,8.0,97.2,,=3,97.3,99.0,,98.2,https://www.timeshighereducation.com/world-university-rankings/princeton-university,3.0,"Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics",Economics and Econometrics,Computer Science,,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",,"Agriculture and Forestry, Biological Sciences",Other Health,"Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Politics and International Studies, Sociology",47.0,53.0,0.23,8739.0,8.2,United States,Princeton,97.2
3,University of Cambridge,2.0,5.0,2.0,4.0,6.0,"Cambridge, United Kingdom",87.6,96.3,4.0,2.0,3.0,97.2,7.0,=3,99.9,97.1,2.0,96.2,https://www.timeshighereducation.com/world-university-rankings/university-cambridge,3.0,"Archaeology, Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Biological Sciences, Veterinary Science",Medicine and Dentistry,"Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Geography, Politics and International Studies, Sociology",50.0,50.0,0.38,21045.0,11.3,United Kingdom,Cambridge,97.2
4,Harvard University,5.0,7.0,10.0,5.0,1.0,"Cambridge, United States",86.7,88.3,2.0,1.0,2.0,97.1,2.0,=5,100.0,98.9,4.0,95.9,https://www.timeshighereducation.com/world-university-rankings/harvard-university,5.0,"Archaeology, Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Agriculture and Forestry, Biological Sciences","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Politics and International Studies, Sociology",53.0,47.0,0.27,22680.0,10.1,United States,Cambridge,97.1
5,Stanford University,4.0,3.0,5.0,1.0,2.0,"Stanford, United States",100.0,83.9,1.0,5.0,6.0,97.1,2.0,=5,97.4,99.5,1.0,97.5,https://www.timeshighereducation.com/world-university-rankings/stanford-university,5.0,"Archaeology, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Agriculture and Forestry, Biological Sciences, Veterinary Science","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Politics and International Studies, Sociology",48.0,52.0,0.25,17422.0,5.9,United States,Stanford,97.1
6,California Institute of Technology,15.0,7.0,1.0,39.0,,"Pasadena, United States",100.0,87.9,,,10.0,96.3,,7,97.4,96.8,,96.4,https://www.timeshighereducation.com/world-university-rankings/california-institute-technology-caltech,7.0,"History, Philosophy and Theology, Languages, Literature and Linguistics","Business and Management, Economics and Econometrics",Computer Science,,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",,Biological Sciences,,"Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",,Politics and International Studies,39.0,61.0,0.33,2401.0,6.7,United States,Pasadena,96.3
7,Imperial College London,4.0,8.0,12.0,14.0,,"London, United Kingdom",91.9,98.2,,,12.0,94.7,,8,94.9,98.0,,90.6,https://www.timeshighereducation.com/world-university-rankings/imperial-college-london,8.0,,"Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",,Biological Sciences,"Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",,,43.0,57.0,0.6,21340.0,12.1,United Kingdom,London,94.7
8,"University of California, Berkeley",7.0,8.0,8.0,2.0,5.0,"Berkeley, United States",99.5,83.9,6.0,8.0,11.0,94.4,6.0,9,99.0,98.9,5.0,87.3,https://www.timeshighereducation.com/world-university-rankings/university-california-berkeley,9.0,"Archaeology, Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Agriculture and Forestry, Biological Sciences",Other Health,"Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology",53.0,47.0,0.25,42565.0,18.4,United States,Berkeley,94.4
9,Yale University,10.0,11.0,24.0,18.0,9.0,"New Haven, United States",87.6,81.4,6.0,12.0,6.0,94.1,7.0,10,94.5,97.2,11.0,94.6,https://www.timeshighereducation.com/world-university-rankings/yale-university,10.0,"Archaeology, Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,,"Chemical Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Agriculture and Forestry, Biological Sciences","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Politics and International Studies, Sociology",53.0,47.0,0.24,14884.0,6.2,United States,New Haven,94.1
