Name,Geo,World University Rankings 2026,Arts and Humanities 2025,Business and Economics 2025,Medical and Health 2025,Computer Science 2025,Education Studies 2025,Engineering 2025,Law 2025,Life Sciences 2025,Physical Sciences 2025,Social Sciences 2025
Klaipeda University,"Klaipeda, Lithuania",,,,,,,,,,,
Knowledge University,"Erbil, Iraq",,,,,,,,,,,
Kobe Gakuin University,"Kobe, Japan",,,,,,,,,,,
Kocaeli Health and Technology University,"Basiskele, Türkiye",,,,,,,,,,,
Kokshetau State University,"Kokshetau, Kazakhstan",,,,,,,,,,,
Komar University of Science and Technology,"Qularaisi, Iraq",,,,,,,,,,,
Konan University,"Kobe, Japan",,,,,,,,,,,
Korkyt Ata Kyzylorda University,"Kyzylorda, Kazakhstan",,,,,,,,,,,
Koya University,"Koya, Iraq",,,,,,,,,,,
Krok University,"Kyiv, Ukraine",,,,,,,,,,,
K.S.Rangasamy College of Technology,"Tiruchengode, India",,,,,,,,,,,
Kumasi Technical University,"Kumasi, Ghana",,,,,,,,,,,
Kurdistan Technical Institute,"Sulaymaniyah, Iraq",,,,,,,,,,,
Kütahya Health Sciences University,"Kutahya, Türkiye",,,,,,,,,,,
Kut University College,"Kut, Iraq",,,,,,,,,,,
Kuwait College of Science and Technology (KCST),"Kuwait, Kuwait",,,,,,,,,,,
Kyiv National Economic University,"Kyiv, Ukraine",,,,,,,,,,,
Kyiv National University of Technologies and Design,"Kyiv, Ukraine",,,,,,,,,,,
Kyoai Gakuen University,"Maebashi-shi, Japan",,,,,,,,,,,
Kyoto Sangyo University,"Kyoto, Japan",1501,1001,,,,,,,,,
Kyrgyz National University named after Jusup Balasagyn,"Bishkek, Kyrgyzstan",,,,,,,,,,,
Kyrgyz-Turkish Manas University,"Bishkek, Kyrgyzstan",,,,,,,,,,,
Kyungdong University,"Gosung, South Korea",,,,,,,,,,,
K. Zhubanov Aktobe Regional University,"Aktobe, Kazakhstan",,,,,,,,,,,
Lagos State University of Education,"Oto-Awori, Nigeria",,,,,,,,,,,
Lagos State University of Science and Technology,"Ikorodu, Nigeria",,,,,,,,,,,
Lahore Garrison University,"Lahore, Pakistan",,,,,,,,,,,
Lankaran State University,Azerbaijan,,,,,,,,,,,
La Salle University (Colombia),"Bogota, Colombia",,,,,,,,,,,
Law Enforcement Academy of the Republic of Uzbekistan,"Tashkent, Uzbekistan",,,,,,,,,,,
Lead City University,"Ibadan, Nigeria",,,,,,,,,,,
Lebanese French University,"Erbil, Iraq",,,,,,,,,,,
Leeds Arts University,"Leeds, United Kingdom",,,,,,,,,,,
Leeds Conservatoire,"Leeds, United Kingdom",,,,,,,,,,,
Leeds Trinity University,"Horsforth, United Kingdom",,,,,,,,,,,
Lesya Ukrainka Volyn National University,"Lutsk, Ukraine",,,,,,,,,,,
Leyte Normal University,"Tacloban City, Philippines",,,,,,,,,,,
Liaquat University of Medical and Health Sciences (LUMHS),"Jamshoro, Pakistan",,,,,,,,,,,
Liverpool Institute for Performing Arts,"Liverpool, United Kingdom",,,,,,,,,,,
Liverpool School of Tropical Medicine,"Liverpool, United Kingdom",,,,,,,,,,,
