0,1,2,3,4,5,6,7,8
1,"University of Oxford
United Kingdom",98.2,97.2,100.0,97.7,99.9,96.4,https://www.timeshighereducation.com/world-university-rankings/university-oxford
2,"Massachusetts Institute of Technology
United States",97.7,99.2,95.3,99.6,100.0,91.9,https://www.timeshighereducation.com/world-university-rankings/massachusetts-institute-technology
=3,"Princeton University
United States",97.2,98.2,97.3,99.0,98.0,85.4,https://www.timeshighereducation.com/world-university-rankings/princeton-university
=3,"University of Cambridge
United Kingdom",97.2,96.2,99.9,97.1,87.6,96.3,https://www.timeshighereducation.com/world-university-rankings/university-cambridge
=5,"Harvard University
United States",97.1,95.9,100.0,98.9,86.7,88.3,https://www.timeshighereducation.com/world-university-rankings/harvard-university
=5,"Stanford University
United States",97.1,97.5,97.4,99.5,100.0,83.9,https://www.timeshighereducation.com/world-university-rankings/stanford-university
7,"California Institute of Technology
United States",96.3,96.4,97.4,96.8,100.0,87.9,https://www.timeshighereducation.com/world-university-rankings/california-institute-technology-caltech
8,"Imperial College London
United Kingdom",94.7,90.6,94.9,98.0,91.9,98.2,https://www.timeshighereducation.com/world-university-rankings/imperial-college-london
9,"University of California, Berkeley
United States",94.4,87.3,99.0,98.9,99.5,83.9,https://www.timeshighereducation.com/world-university-rankings/university-california-berkeley
10,"Yale University
United States",94.1,94.6,94.5,97.2,87.6,81.4,https://www.timeshighereducation.com/world-university-rankings/yale-university
11,"ETH Zurich
Switzerland",93.1,88.5,97.2,94.5,83.7,95.1,https://www.timeshighereducation.com/world-university-rankings/eth-zurich
12,"Tsinghua University
China",93.0,95.9,98.5,93.9,100.0,53.4,https://www.timeshighereducation.com/world-university-rankings/tsinghua-university
13,"Peking University
China",92.3,95.4,97.9,89.0,100.0,67.3,https://www.timeshighereducation.com/world-university-rankings/peking-university
14,"University of Pennsylvania
United States",90.8,88.1,90.3,96.1,97.9,78.4,https://www.timeshighereducation.com/world-university-rankings/university-pennsylvania
15,"The University of Chicago
United States",90.6,89.6,90.1,96.8,76.4,79.7,https://www.timeshighereducation.com/world-university-rankings/university-chicago
16,"Johns Hopkins University
United States",90.1,84.6,89.9,96.3,100.0,81.9,https://www.timeshighereducation.com/world-university-rankings/johns-hopkins-university
17,"National University of Singapore
Singapore",89.7,78.6,93.1,95.1,99.9,92.8,https://www.timeshighereducation.com/world-university-rankings/national-university-singapore
=18,"Cornell University
United States",89.5,85.9,90.6,95.9,70.3,83.5,https://www.timeshighereducation.com/world-university-rankings/cornell-university
=18,"University of California, Los Angeles
United States",89.5,86.0,91.4,95.6,93.5,69.2,https://www.timeshighereducation.com/world-university-rankings/university-california-los-angeles
20,"Columbia University
United States",89.4,87.8,87.8,95.9,74.8,83.7,https://www.timeshighereducation.com/world-university-rankings/columbia-university
21,"University of Toronto
Canada",88.5,78.2,92.9,92.3,95.8,92.3,https://www.timeshighereducation.com/world-university-rankings/university-toronto
22,"UCL
United Kingdom",87.5,77.8,85.9,97.6,74.7,97.5,https://www.timeshighereducation.com/world-university-rankings/ucl
23,"University of Michigan-Ann Arbor
United States",86.9,85.7,87.3,93.8,81.4,65.8,https://www.timeshighereducation.com/world-university-rankings/university-michigan-ann-arbor
24,"Carnegie Mellon University
United States",85.0,72.7,83.0,99.0,85.5,84.3,https://www.timeshighereducation.com/world-university-rankings/carnegie-mellon-university
25,"University of Washington
United States",83.7,77.0,80.0,97.6,81.6,70.1,https://www.timeshighereducation.com/world-university-rankings/university-washington
26,"The University of Tokyo
Japan",83.5,94.7,94.2,68.2,100.0,50.8,https://www.timeshighereducation.com/world-university-rankings/university-tokyo
27,"Technical University of Munich
Germany",83.4,71.9,84.8,91.3,100.0,83.4,https://www.timeshighereducation.com/world-university-rankings/technical-university-munich
28,"Duke University
United States",82.9,78.7,74.2,95.4,100.0,74.2,https://www.timeshighereducation.com/world-university-rankings/duke-university
29,"University of Edinburgh
United Kingdom",82.5,75.7,74.7,94.8,71.0,96.2,https://www.timeshighereducation.com/world-university-rankings/university-edinburgh
30,"Northwestern University
United States",81.9,73.2,76.0,96.9,96.0,71.0,https://www.timeshighereducation.com/world-university-rankings/northwestern-university
=31,"Nanyang Technological University, Singapore
Singapore",81.6,65.8,78.1,95.2,100.0,93.6,https://www.timeshighereducation.com/world-university-rankings/nanyang-technological-university-singapore
=31,"New York University
United States",81.6,74.6,78.5,94.3,74.8,74.1,https://www.timeshighereducation.com/world-university-rankings/new-york-university
33,"University of Hong Kong
Hong Kong",80.5,68.3,70.8,95.6,96.5,96.6,https://www.timeshighereducation.com/world-university-rankings/university-hong-kong
34,"LMU Munich
Germany",79.7,68.4,75.4,92.4,100.0,78.7,https://www.timeshighereducation.com/world-university-rankings/lmu-munich
35,"École Polytechnique Fédérale de Lausanne
Switzerland",79.6,73.5,70.8,87.5,99.9,95.4,https://www.timeshighereducation.com/world-university-rankings/ecole-polytechnique-federale-de-lausanne
36,"Fudan University
China",79.3,79.5,77.1,84.8,99.8,53.8,https://www.timeshighereducation.com/world-university-rankings/fudan-university
37,"University of Melbourne
Australia",79.0,67.7,75.5,87.8,99.3,91.6,https://www.timeshighereducation.com/world-university-rankings/university-melbourne
38,"King’s College London
United Kingdom",78.7,64.2,72.1,95.5,72.3,96.9,https://www.timeshighereducation.com/world-university-rankings/kings-college-london
39,"Zhejiang University
China",78.3,75.0,78.4,84.3,100.0,55.5,https://www.timeshighereducation.com/world-university-rankings/zhejiang-university
40,"Shanghai Jiao Tong University
China",77.6,75.4,79.1,80.2,100.0,57.7,https://www.timeshighereducation.com/world-university-rankings/shanghai-jiao-tong-university
=41,"Georgia Institute of Technology
United States",77.1,60.8,75.8,90.4,99.1,81.5,https://www.timeshighereducation.com/world-university-rankings/georgia-institute-technology
=41,"McGill University
Canada",77.1,71.0,70.8,86.2,77.5,89.2,https://www.timeshighereducation.com/world-university-rankings/mcgill-university
=41,"The Chinese University of Hong Kong
Hong Kong",77.1,63.2,63.8,97.9,90.9,92.1,https://www.timeshighereducation.com/world-university-rankings/chinese-university-hong-kong
=41,"University of Illinois at Urbana-Champaign
United States",77.1,67.9,80.7,85.3,84.4,62.3,https://www.timeshighereducation.com/world-university-rankings/university-illinois-urbana-champaign
45,"University of British Columbia
Canada",77.0,64.1,73.9,88.6,77.4,93.5,https://www.timeshighereducation.com/world-university-rankings/university-british-columbia
46,"KU Leuven
Belgium",76.8,61.3,73.8,91.3,100.0,79.2,https://www.timeshighereducation.com/world-university-rankings/ku-leuven
47,"University of California, San Diego
United States",76.6,66.4,63.7,97.1,100.0,71.3,https://www.timeshighereducation.com/world-university-rankings/university-california-san-diego
48,"Paris Sciences et Lettres – PSL Research University Paris
France",76.5,74.2,71.8,79.8,99.7,77.9,https://www.timeshighereducation.com/world-university-rankings/paris-sciences-et-lettres-psl-research-university-paris
49,"Universität Heidelberg
Germany",76.3,68.3,61.4,95.3,93.7,80.2,https://www.timeshighereducation.com/world-university-rankings/universitat-heidelberg
50,"University of Texas at Austin
United States",75.8,67.8,76.0,90.1,82.3,46.2,https://www.timeshighereducation.com/world-university-rankings/university-texas-austin
51,"University of Science and Technology of China
China",75.7,72.9,69.8,89.0,98.9,43.2,https://www.timeshighereducation.com/world-university-rankings/university-science-and-technology-china
52,"London School of Economics and Political Science
United Kingdom",75.4,60.5,71.2,93.4,46.8,94.2,https://www.timeshighereducation.com/world-university-rankings/london-school-economics-and-political-science
=53,"Karolinska Institute
Sweden",75.0,59.6,66.0,95.5,94.7,77.8,https://www.timeshighereducation.com/world-university-rankings/karolinska-institute
=53,"The University of Sydney
Australia",75.0,59.2,67.5,91.5,98.9,88.2,https://www.timeshighereducation.com/world-university-rankings/university-sydney
=53,"University of Wisconsin-Madison
United States",75.0,70.3,68.8,88.0,82.6,62.0,https://www.timeshighereducation.com/world-university-rankings/university-wisconsin-madison
56,"University of Manchester
United Kingdom",74.9,61.2,65.9,92.4,74.0,94.5,https://www.timeshighereducation.com/world-university-rankings/university-manchester
57,"Delft University of Technology
Netherlands",74.3,64.1,75.1,75.5,100.0,92.1,https://www.timeshighereducation.com/world-university-rankings/delft-university-technology
